Service Request Type,Year,Month,Request Count,lag,Rolling_Mean,Rolling_Std
Pothole,2021,2,692,7,270.3333333333333,368.9286290508431
Public Litter and Recycling Cans,2021,2,39,692,246.0,386.5785819209353
Scooter or Bike Share Issue,2021,2,85,39,272.0,364.4571305380116
Street Sign and Traffic Signal Maintenance,2021,2,469,85,197.66666666666666,236.10449663937908
Streetlight Maintenance,2021,2,319,469,291.0,193.5251921585435
Towing Impound Complaint,2021,2,8,319,265.3333333333333,235.1389660037964
Traffic Calming,2021,2,3,8,110.0,181.0165738268219
Wireless or Small Cell Issue,2021,2,3,3,4.666666666666667,2.8867513461756626
ADA Request (Transportation),2021,3,2,3,2.6666666666666665,0.5773502703280338
Abandoned Vehicle,2021,3,2,2,2.3333333333333335,0.577350270328157
Animal Noise,2021,3,39,2,14.333333333333334,21.361959960046804
Business Related Complaint,2021,3,18,39,19.666666666666668,18.556220879657598
Business Violation of Public Health Requirements,2021,3,77,18,44.666666666666664,29.905406423164187
Clogged Storm Drain,2021,3,104,77,66.33333333333333,43.98105652817608
Damaged Sidewalk,2021,3,105,104,95.33333333333333,15.885003409965222
Dead Animal,2021,3,84,105,97.66666666666667,11.846237095998273
General Inquiry - Animal Shelter,2021,3,66,84,85.0,19.519221295975875
General Inquiry - City Light,2021,3,363,66,171.0,166.52026903653874
General Inquiry - Customer Service Bureau,2021,3,1467,363,632.0,738.2215114719978
General Inquiry - Police Department,2021,3,76,1467,635.3333333333334,734.400662672178
General Inquiry - Public Utilities,2021,3,151,76,564.6666666666666,782.3428489692574
General Inquiry - Transportation,2021,3,575,151,267.3333333333333,269.0731003525518
Graffiti,2021,3,2403,575,1043.0,1196.7221899839583
Illegal Dumping / Needles,2021,3,2435,2403,1804.3333333333333,1064.7541187210004
Internet/Cable Issue,2021,3,91,2435,1643.0,1344.1666563339536
Overgrown Vegetation,2021,3,163,91,896.3333333333334,1333.0106276145493
Parking Enforcement,2021,3,1492,163,582.0,788.904937238956
Parks and Recreation Maintenance,2021,3,165,1492,606.6666666666666,766.7218096111095
Pollution Report Form,2021,3,2,165,553.0,817.271680654604
Pothole,2021,3,835,2,334.0,441.46687304938393
Public Garage or Parking Lot Complaint,2021,3,1,835,279.3333333333333,481.22170912515384
Public Litter and Recycling Cans,2021,3,79,1,305.0,460.6473705558308
Scooter or Bike Share Issue,2021,3,126,79,68.66666666666667,63.13741627065585
Street Sign and Traffic Signal Maintenance,2021,3,567,126,257.3333333333333,269.2068597442015
Streetlight Maintenance,2021,3,313,567,335.3333333333333,221.34663614641678
Towing Impound Complaint,2021,3,7,313,295.6666666666667,280.4020922413637
Traffic Calming,2021,3,5,7,108.33333333333333,177.24935354842378
Wireless or Small Cell Issue,2021,3,3,5,5.0,2.000000000187235
ADA Request (Transportation),2021,4,2,3,3.3333333333333335,1.527525231896832
Abandoned Vehicle,2021,4,2,2,2.3333333333333335,0.5773502698371143
Animal Noise,2021,4,39,2,14.333333333333334,21.36195996003379
Business Related Complaint,2021,4,9,39,16.666666666666668,19.65536398375995
Business Violation of Public Health Requirements,2021,4,50,9,32.666666666666664,21.221058723213968
Clogged Storm Drain,2021,4,47,50,35.333333333333336,22.85461295524597
Damaged Sidewalk,2021,4,95,47,64.0,26.88865931951196
Dead Animal,2021,4,75,95,72.33333333333333,24.110855093383037
General Inquiry - Animal Shelter,2021,4,55,75,75.0,20.00000000001957
General Inquiry - City Light,2021,4,346,55,158.66666666666666,162.5433275570983
General Inquiry - Customer Service Bureau,2021,4,1373,346,591.3333333333334,692.4033025147513
General Inquiry - Police Department,2021,4,82,1373,600.3333333333334,682.044231214761
General Inquiry - Public Utilities,2021,4,156,82,537.0,724.9420666508469
General Inquiry - Transportation,2021,4,613,156,283.6666666666667,287.60099675302615
Graffiti,2021,4,1908,613,892.3333333333334,908.7883875431808
Illegal Dumping / Needles,2021,4,2555,1908,1692.0,988.8543876628152
Internet/Cable Issue,2021,4,79,2555,1514.0,1284.1615941928808
Overgrown Vegetation,2021,4,179,79,937.6666666666666,1401.5439105976432
Parking Enforcement,2021,4,2269,179,842.3333333333334,1236.540874105395
Parks and Recreation Maintenance,2021,4,212,2269,886.6666666666666,1197.2494866707334
Pollution Report Form,2021,4,6,212,829.0,1251.3228999742637
Pothole,2021,4,602,6,273.3333333333333,302.69676795984174
Public Garage or Parking Lot Complaint,2021,4,1,602,203.0,345.553179698872
Public Litter and Recycling Cans,2021,4,82,1,228.33333333333334,326.12931995350294
Safe Routes to School,2021,4,2,82,28.333333333333332,46.47938611184884
Scooter or Bike Share Issue,2021,4,264,2,116.0,134.26838793998002
Street Sign and Traffic Signal Maintenance,2021,4,689,264,318.3333333333333,346.7078501178395
Streetlight Maintenance,2021,4,300,689,417.6666666666667,235.66996697359258
Towing Impound Complaint,2021,4,4,300,331.0,343.5505785179249
Traffic Calming,2021,4,9,4,104.33333333333333,169.4707447712859
ADA Request (Transportation),2021,5,2,9,5.0,3.6055512756063344
Abandoned Vehicle,2021,5,2,2,4.333333333333333,4.041451884454403
Animal Noise,2021,5,43,2,15.666666666666666,23.671361036796256
Business Related Complaint,2021,5,18,43,21.0,20.66397831979652
Business Violation of Public Health Requirements,2021,5,16,18,25.666666666666668,15.044378795229537
Clogged Storm Drain,2021,5,59,16,31.0,24.269322199044144
Damaged Sidewalk,2021,5,66,59,47.0,27.073972741380437
Dead Animal,2021,5,105,66,76.66666666666667,24.785748593381914
General Inquiry - Animal Shelter,2021,5,57,105,76.0,25.514701644365747
General Inquiry - City Light,2021,5,280,57,147.33333333333334,117.37262599658538
General Inquiry - Customer Service Bureau,2021,5,1465,280,600.6666666666666,756.7934548695133
General Inquiry - Police Department,2021,5,74,1465,606.3333333333334,750.7265369848958
General Inquiry - Public Utilities,2021,5,132,74,557.0,786.8856333673915
General Inquiry - Transportation,2021,5,535,132,247.0,251.09559932424366
Graffiti,2021,5,1696,535,787.6666666666666,812.037150217485
Illegal Dumping / Needles,2021,5,2402,1696,1544.3333333333333,942.6952494487995
Internet/Cable Issue,2021,5,53,2402,1383.6666666666667,1205.2445118453493
Overgrown Vegetation,2021,5,432,53,962.3333333333334,1261.1067890283257
Parking Enforcement,2021,5,2073,432,852.6666666666666,1073.694711420958
Parks and Recreation Maintenance,2021,5,260,2073,921.6666666666666,1000.7858578803629
Pollution Report Form,2021,5,7,260,780.0,1126.8935175960505
Pothole,2021,5,445,7,237.33333333333334,219.87799647380228
Public Litter and Recycling Cans,2021,5,92,445,181.33333333333334,232.26349978705946
Scooter or Bike Share Issue,2021,5,238,92,258.3333333333333,177.37624794017214
Street Sign and Traffic Signal Maintenance,2021,5,664,238,331.3333333333333,297.20251232675247
Streetlight Maintenance,2021,5,243,664,381.6666666666667,244.52061944411457
Towing Complaint - Public Impound,2021,5,1,243,302.6666666666667,335.50310480431244
Towing Impound Complaint,2021,5,13,1,85.66666666666667,136.38670511942598
Traffic Calming,2021,5,6,13,6.666666666666667,6.027713773330219
Wireless or Small Cell Issue,2021,5,1,6,6.666666666666667,6.027713773330219
ADA Request (Transportation),2021,6,1,1,2.6666666666666665,2.8867513459235865
Abandoned Vehicle,2021,6,3,1,1.6666666666666667,1.154700538317551
Animal Noise,2021,6,66,3,23.333333333333332,36.96394639825688
Business Related Complaint,2021,6,14,66,27.666666666666668,33.650160970390786
Business Violation of Public Health Requirements,2021,6,26,14,35.333333333333336,27.22743714221405
Clogged Storm Drain,2021,6,75,26,38.333333333333336,32.31614663497521
Damaged Sidewalk,2021,6,96,75,65.66666666666667,35.92121007612691
Dead Animal,2021,6,111,96,94.0,18.083141320023213
General Inquiry - Animal Shelter,2021,6,72,111,93.0,19.672315572904225
General Inquiry - City Light,2021,6,321,72,168.0,133.92908571329824
General Inquiry - Customer Service Bureau,2021,6,1566,321,653.0,800.4230131624155
General Inquiry - Police Department,2021,6,79,1566,655.3333333333334,797.8886722678382
General Inquiry - Public Utilities,2021,6,159,79,601.3333333333334,836.3828868008561
General Inquiry - Transportation,2021,6,654,159,297.3333333333333,311.46160812102266
Graffiti,2021,6,1250,654,687.6666666666666,546.2786224385262
Illegal Dumping / Needles,2021,6,2463,1250,1455.6666666666667,921.8700197605597
Internet/Cable Issue,2021,6,71,2463,1261.3333333333333,1196.0402724546254
Overgrown Vegetation,2021,6,601,71,1045.0,1256.2913674781025
Parking Enforcement,2021,6,2191,601,954.3333333333334,1103.282979717051
Parks and Recreation Maintenance,2021,6,284,2191,1025.3333333333333,1021.864146221666
Pollution Report Form,2021,6,3,284,826.0,1190.4448748262143
Pothole,2021,6,479,3,255.33333333333334,239.29131478876224
Public Garage or Parking Lot Complaint,2021,6,2,479,161.33333333333334,275.10785763648136
Public Litter and Recycling Cans,2021,6,94,2,191.66666666666666,253.05401267977257
Scooter or Bike Share Issue,2021,6,262,94,119.33333333333333,131.838284778491
Street Sign and Traffic Signal Maintenance,2021,6,700,262,352.0,312.86418778761043
Streetlight Maintenance,2021,6,149,700,370.3333333333333,291.03665290360675
Towing Complaint - Public Impound,2021,6,4,149,284.3333333333333,367.20611832230475
Towing Impound Complaint,2021,6,6,4,53.0,83.14445261111021
Traffic Calming,2021,6,5,6,5.0,1.0000000005788934
Wireless or Small Cell Issue,2021,6,1,5,4.0,2.6457513112834157
ADA Request (Transportation),2021,7,4,1,3.3333333333333335,2.0816659997442755
Abandoned Vehicle,2021,7,1,4,2.0,1.7320508079032122
Animal Noise,2021,7,63,1,22.666666666666668,34.961884007222615
Business Related Complaint,2021,7,12,63,25.333333333333332,33.08070938378571
Clogged Storm Drain,2021,7,46,12,40.333333333333336,25.967928938105292
Damaged Sidewalk,2021,7,100,46,52.666666666666664,44.37717130839329
Dead Animal,2021,7,107,100,84.33333333333333,33.38163167573568
General Inquiry - Animal Shelter,2021,7,78,107,95.0,15.132745950459386
General Inquiry - City Light,2021,7,355,78,180.0,152.2465106332527
General Inquiry - Customer Service Bureau,2021,7,1800,355,744.3333333333334,924.6655251134512
General Inquiry - Police Department,2021,7,94,1800,749.6666666666666,918.9289054836257
General Inquiry - Public Utilities,2021,7,183,94,692.3333333333334,960.2990853548359
General Inquiry - Transportation,2021,7,695,183,324.0,324.3624515877279
Graffiti,2021,7,1500,695,792.6666666666666,663.9098834430274
Illegal Dumping / Needles,2021,7,2678,1500,1624.3333333333333,997.3296011516625
Internet/Cable Issue,2021,7,109,2678,1429.0,1285.9708394827624
Overgrown Vegetation,2021,7,623,109,1136.6666666666667,1359.349231556532
Parking Enforcement,2021,7,2584,623,1105.3333333333333,1306.0973674781426
Parks and Recreation Maintenance,2021,7,320,2584,1175.6666666666667,1229.0257659354966
Pollution Report Form,2021,7,10,320,971.3333333333334,1405.1851598039789
Pothole,2021,7,337,10,222.33333333333334,184.0824090817305
Public Garage or Parking Lot Complaint,2021,7,2,337,116.33333333333333,191.1447967728485
Public Litter and Recycling Cans,2021,7,120,2,153.0,169.92056967889505
Scooter or Bike Share Issue,2021,7,521,120,214.33333333333334,272.05575408973357
Street Sign and Traffic Signal Maintenance,2021,7,688,521,443.0,291.92293503594453
Streetlight Maintenance,2021,7,198,688,469.0,249.10439578618497
Towing Complaint - Public Impound,2021,7,2,198,296.0,353.3440249954713
Towing Impound Complaint,2021,7,4,2,68.0,112.58774356030122
Traffic Calming,2021,7,6,4,4.0,2.0000000000319176
Wireless or Small Cell Issue,2021,7,1,6,3.6666666666666665,2.5166114784489264
ADA Request (Transportation),2021,8,2,1,3.0,2.6457513110886537
Abandoned Vehicle,2021,8,1,2,1.3333333333333333,0.5773502692994079
Animal Noise,2021,8,48,1,17.0,26.851443164197565
Business Related Complaint,2021,8,12,48,20.333333333333332,24.583192089992437
Clogged Storm Drain,2021,8,45,12,35.0,19.974984355441645
Damaged Sidewalk,2021,8,106,45,54.333333333333336,47.6899709932128
Dead Animal,2021,8,97,106,82.66666666666667,32.929217016708556
General Inquiry - Animal Shelter,2021,8,68,97,90.33333333333333,19.857828011479267
General Inquiry - City Light,2021,8,373,68,179.33333333333334,168.34587412031672
General Inquiry - Customer Service Bureau,2021,8,1858,373,766.3333333333334,957.6316271580289
General Inquiry - Police Department,2021,8,62,1858,764.3333333333334,959.8230739742268
General Inquiry - Public Utilities,2021,8,192,62,704.0,1001.5048676866232
General Inquiry - Transportation,2021,8,635,192,296.3333333333333,300.4102750129131
Graffiti,2021,8,1423,635,750.0,623.5054129676829
Illegal Dumping / Needles,2021,8,3131,1423,1729.6666666666667,1275.9456623749047
Internet/Cable Issue,2021,8,77,3131,1543.6666666666667,1530.5715707974373
Overgrown Vegetation,2021,8,443,77,1217.0,1667.6438468689892
Parking Enforcement,2021,8,2542,443,1020.6666666666666,1330.1617696104988
Parks and Recreation Maintenance,2021,8,349,2542,1111.3333333333333,1239.8848064773333
Pollution Report Form,2021,8,10,349,967.0,1374.4813567306037
Pothole,2021,8,344,10,234.33333333333334,194.29445008371766
Public Garage or Parking Lot Complaint,2021,8,3,344,119.0,194.88714683118775
Public Litter and Recycling Cans,2021,8,90,3,145.66666666666666,177.1844613202136
Scooter or Bike Share Issue,2021,8,330,90,141.0,169.36056211527207
Street Sign and Traffic Signal Maintenance,2021,8,658,330,359.3333333333333,285.1338866801599
Streetlight Maintenance,2021,8,257,658,415.0,213.58604823349515
Towing Complaint - Public Impound,2021,8,8,257,307.6666666666667,327.9486748461324
Towing Impound Complaint,2021,8,2,8,89.0,145.52319402762222
Traffic Calming,2021,8,6,2,5.333333333333333,3.0550504634688065
Wireless or Small Cell Issue,2021,8,1,6,3.0,2.6457513112551285
ADA Request (Transportation),2021,9,1,1,2.6666666666666665,2.8867513461227743
Abandoned Vehicle,2021,9,1,1,1.0,0.0
Animal Noise,2021,9,43,1,15.0,24.248711305985008
Business Related Complaint,2021,9,30,43,24.666666666666668,21.501937897183502
Clogged Storm Drain,2021,9,183,30,85.33333333333333,84.83120495038557
Damaged Sidewalk,2021,9,105,183,106.0,76.50490180374707
Dead Animal,2021,9,87,105,125.0,51.02940328870186
General Inquiry - Animal Shelter,2021,9,71,87,87.66666666666667,17.00980109625977
General Inquiry - City Light,2021,9,344,71,167.33333333333334,153.20683187552146
General Inquiry - Customer Service Bureau,2021,9,1928,344,781.0,1002.6659463649898
General Inquiry - Police Department,2021,9,93,1928,788.3333333333334,994.9273005266939
General Inquiry - Public Utilities,2021,9,179,93,733.3333333333334,1035.504868811989
General Inquiry - Transportation,2021,9,551,179,274.3333333333333,243.4282919739077
Graffiti,2021,9,1578,551,769.3333333333334,724.6049498404866
Illegal Dumping / Needles,2021,9,2960,1578,1696.3333333333333,1208.851658944692
Internet/Cable Issue,2021,9,55,2960,1531.0,1453.0701978913478
Overgrown Vegetation,2021,9,374,55,1129.6666666666667,1593.1196858156434
Parking Enforcement,2021,9,2772,374,1067.0,1485.162954022218
Parks and Recreation Maintenance,2021,9,354,2772,1166.6666666666667,1390.2954122535737
Pollution Report Form,2021,9,4,354,1043.3333333333333,1507.2628613925756
Pothole,2021,9,319,4,225.66666666666666,192.76496915501716
Public Garage or Parking Lot Complaint,2021,9,1,319,108.0,182.73751667351024
Public Litter and Recycling Cans,2021,9,100,1,140.0,162.72983746074786
Safe Routes to School,2021,9,5,100,35.333333333333336,56.03867711977861
Scooter or Bike Share Issue,2021,9,278,5,127.66666666666667,138.58691616936557
Street Sign and Traffic Signal Maintenance,2021,9,790,278,357.6666666666667,398.5176700390269
Streetlight Maintenance,2021,9,387,790,485.0,269.7016870544219
Towing Complaint - Public Impound,2021,9,6,387,394.3333333333333,392.05144220285007
Towing Impound Complaint,2021,9,3,6,132.0,220.84157217336022
Traffic Calming,2021,9,4,3,4.333333333333333,1.5275252321521138
Wireless or Small Cell Issue,2021,9,4,4,3.6666666666666665,0.5773502705132387
ADA Request (Transportation),2021,10,1,4,3.0,1.73205080801018
Abandoned Vehicle/72hr Parking Ordinance,2021,10,2029,1,678.0,1170.0012820505801
Animal Noise,2021,10,26,2029,685.3333333333334,1163.7166035308317
Business Related Complaint,2021,10,8,26,687.6666666666666,1161.6636059261455
Clogged Storm Drain,2021,10,222,8,85.33333333333333,118.69849760352885
Damaged Sidewalk,2021,10,86,222,105.33333333333333,108.30204676429223
Dead Animal,2021,10,68,86,125.33333333333333,84.19817891935035
General Inquiry - Animal Shelter,2021,10,60,68,71.33333333333333,13.316656237019382
General Inquiry - City Light,2021,10,342,60,156.66666666666666,160.55321028660538
General Inquiry - Customer Service Bureau,2021,10,2015,342,805.6666666666666,1056.762193368657
General Inquiry - Police Department,2021,10,78,2015,811.6666666666666,1050.4438744327729
General Inquiry - Public Utilities,2021,10,208,78,767.0,1082.752510964533
General Inquiry - Transportation,2021,10,612,208,299.3333333333333,278.4696273084997
Graffiti,2021,10,1635,612,818.3333333333334,735.5354059005825
Illegal Dumping / Needles,2021,10,2349,1635,1532.0,873.0687258171612
Internet/Cable Issue,2021,10,53,2349,1345.6666666666667,1175.0273755676224
Overgrown Vegetation,2021,10,284,53,895.3333333333334,1264.199483204029
Parking Enforcement,2021,10,2747,284,1028.0,1493.1714570001668
Parks and Recreation Maintenance,2021,10,340,2747,1123.6666666666667,1406.1267131141967
Pollution Report Form,2021,10,11,340,1032.6666666666667,1493.7417224317376
Pothole,2021,10,370,11,240.33333333333334,199.17412817264875
Public Garage or Parking Lot Complaint,2021,10,2,370,127.66666666666667,209.91506218786384
Public Litter and Recycling Cans,2021,10,104,2,158.66666666666666,189.9929823265447
Safe Routes to School,2021,10,1,104,35.666666666666664,59.1805148113361
Scooter or Bike Share Issue,2021,10,254,1,119.66666666666667,127.22552154868436
Street Sign and Traffic Signal Maintenance,2021,10,774,254,343.0,394.11039062679043
Streetlight Maintenance,2021,10,436,774,488.0,263.8711806924001
Towing Complaint - Public Impound,2021,10,2,436,404.0,386.9935399977644
Towing Impound Complaint,2021,10,7,2,148.33333333333334,249.13918466057223
Traffic Calming,2021,10,9,7,6.0,3.605551275659675
ADA Request (Transportation),2021,11,2,9,6.0,3.6055512756596744
Abandoned Vehicle/72hr Parking Ordinance,2021,11,3031,2,1014.0,1746.7767458951362
Animal Noise,2021,11,16,3031,1016.3333333333334,1744.7665555406932
Business Related Complaint,2021,11,12,16,1019.6666666666666,1741.866910338828
Clogged Storm Drain,2021,11,435,12,154.33333333333334,243.0726914594371
Damaged Sidewalk,2021,11,77,435,174.66666666666666,227.78571801878778
Dead Animal,2021,11,73,77,195.0,207.8557191900222
General Inquiry - Animal Shelter,2021,11,92,73,80.66666666666667,10.016652800947108
General Inquiry - City Light,2021,11,416,92,193.66666666666666,192.78053152052127
General Inquiry - Customer Service Bureau,2021,11,1756,416,754.6666666666666,882.1821429463048
General Inquiry - Police Department,2021,11,74,1756,748.6666666666666,888.9776900087733
General Inquiry - Public Utilities,2021,11,135,74,655.0,953.9816560081232
General Inquiry - Transportation,2021,11,512,135,240.33333333333334,237.2389793717181
Graffiti,2021,11,1365,512,670.6666666666666,630.1637353365667
Illegal Dumping / Needles,2021,11,2015,1365,1297.3333333333333,753.7813564511491
Internet/Cable Issue,2021,11,48,2015,1142.6666666666667,1002.1708104576458
Overgrown Vegetation,2021,11,207,48,756.6666666666666,1092.6446509882958
Parking Enforcement,2021,11,1884,207,713.0,1017.2271132839517
Parks and Recreation Maintenance,2021,11,318,1884,803.0,937.817146356368
Pollution Report Form,2021,11,7,318,736.3333333333334,1005.9991716365053
Pothole,2021,11,744,7,356.3333333333333,369.99234226310006
Public Garage or Parking Lot Complaint,2021,11,3,744,251.33333333333334,426.66653645831553
Public Litter and Recycling Cans,2021,11,63,3,270.0,411.5908162240768
Safe Routes to School,2021,11,1,63,22.333333333333332,35.232560697958846
Scooter or Bike Share Issue,2021,11,117,1,60.333333333333336,58.04595880279099
Street Sign and Traffic Signal Maintenance,2021,11,733,117,283.6666666666667,393.43275579612714
Streetlight Maintenance,2021,11,493,733,447.6666666666667,310.4920825614315
Towing Complaint - Public Impound,2021,11,10,493,412.0,368.24312620876105
Towing Impound Complaint,2021,11,1,10,168.0,281.49422729427664
Traffic Calming,2021,11,5,1,5.333333333333333,4.509249753055272
Wireless or Small Cell Issue,2021,11,1,5,2.3333333333333335,2.3094010772131215
ADA Request (Transportation),2021,12,4,1,3.3333333333333335,2.081665999970159
Abandoned Vehicle/72hr Parking Ordinance,2021,12,2544,4,849.6666666666666,1467.3364758409484
Animal Noise,2021,12,34,2544,860.6666666666666,1457.8865982418984
Business Related Complaint,2021,12,10,34,862.6666666666666,1456.1268259781957
Clogged Storm Drain,2021,12,127,10,57.0,61.79805822193988
Damaged Sidewalk,2021,12,70,127,69.0,58.50640990525955
Dead Animal,2021,12,108,70,101.66666666666667,29.0229794014249
General Inquiry - Animal Shelter,2021,12,63,108,80.33333333333333,24.21432083159815
General Inquiry - City Light,2021,12,357,63,176.0,158.35719118499824
General Inquiry - Customer Service Bureau,2021,12,1653,357,691.0,845.9858154839249
General Inquiry - Police Department,2021,12,78,1653,696.0,840.4445252364973
General Inquiry - Public Utilities,2021,12,201,78,644.0,875.9811641810578
General Inquiry - Transportation,2021,12,465,201,248.0,197.7346707080023
Graffiti,2021,12,1455,465,707.0,661.0990848579365
Illegal Dumping / Needles,2021,12,1605,1455,1175.0,619.4352266379433
Internet/Cable Issue,2021,12,39,1605,1033.0,864.090273061791
Overgrown Vegetation,2021,12,142,39,595.3333333333334,875.9122863239987
Parking Enforcement,2021,12,1485,142,555.3333333333334,806.7603940039043
Parks and Recreation Maintenance,2021,12,234,1485,620.3333333333334,750.2348521185448
Pollution Report Form,2021,12,6,234,575.0,796.2857527295095
Pothole,2021,12,644,6,294.6666666666667,323.29759252635245
Public Garage or Parking Lot Complaint,2021,12,1,644,217.0,369.80129799664337
Public Litter and Recycling Cans,2021,12,85,1,243.33333333333334,349.5201472495334
Scooter or Bike Share Issue,2021,12,86,85,57.333333333333336,48.78865988460693
Street Sign and Traffic Signal Maintenance,2021,12,588,86,253.0,290.1189411258806
Streetlight Maintenance,2021,12,351,588,341.6666666666667,251.13011235878378
Towing Complaint - Public Impound,2021,12,3,351,314.0,294.2498937977753
Towing Impound Complaint,2021,12,3,3,119.0,200.91789367799575
Traffic Calming,2021,12,6,3,4.0,1.7320508083182236
Wireless or Small Cell Issue,2021,12,1,6,3.3333333333333335,2.5166114789395446
ADA Request (Transportation),2022,1,2,1,3.0,2.645751311555475
Abandoned Vehicle/72hr Parking Ordinance,2022,1,3088,2,1030.3333333333333,1781.9916760000128
Animal Noise,2022,1,47,3088,1045.6666666666667,1768.8556564438304
Business Related Complaint,2022,1,10,47,1048.3333333333333,1766.500023587131
Clogged Storm Drain,2022,1,226,10,94.33333333333333,115.5176754152195
Damaged Sidewalk,2022,1,81,226,105.66666666666667,110.09238544666015
Dead Animal,2022,1,83,81,130.0,83.14445261111898
General Inquiry - Animal Shelter,2022,1,58,83,74.0,13.892443989547374
General Inquiry - City Light,2022,1,354,58,165.0,164.15541416597426
General Inquiry - Customer Service Bureau,2022,1,1856,354,756.0,964.0560149700854
General Inquiry - Police Department,2022,1,67,1856,759.0,960.8064321183542
General Inquiry - Public Utilities,2022,1,212,67,711.6666666666666,993.6701330589216
General Inquiry - Transportation,2022,1,456,212,245.0,196.5884025063599
Graffiti,2022,1,1510,456,726.0,689.8376620626055
Illegal Dumping / Needles,2022,1,2582,1510,1516.0,1063.0126998300632
Internet/Cable Issue,2022,1,33,2582,1375.0,1279.851163221724
Overgrown Vegetation,2022,1,154,33,923.0,1438.0093880082982
Parking Enforcement,2022,1,1774,154,653.6666666666666,972.121563043087
Parks and Recreation Maintenance,2022,1,302,1774,743.3333333333334,895.645763308985
Pollution Report Form,2022,1,5,302,693.6666666666666,947.3079400772141
Pothole,2022,1,4207,5,1504.6666666666667,2344.99601989712
Public Garage or Parking Lot Complaint,2022,1,3,4207,1405.0,2426.603387453335
Public Litter and Recycling Cans,2022,1,108,3,1439.3333333333333,2397.4445422852505
Safe Routes to School,2022,1,4,108,38.333333333333336,60.33517492587685
Scooter or Bike Share Issue,2022,1,134,4,82.0,68.78953408769931
Street Sign and Traffic Signal Maintenance,2022,1,673,134,270.3333333333333,354.72571563580743
